objectId,updatedAt,createdAt,ACL,EventType,userId,translationId
gbeg1eMonb,Sat Apr 08 2023 17:11:41 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:11:41 GMT+0200 (Central European Summer Time),null,login,0j1DDpxUEM,
X87r3jrC4U,Sat Apr 08 2023 17:13:02 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:13:02 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,2JUUEdzqMg
xTPWEFF3nG,Sat Apr 08 2023 17:13:07 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:13:07 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,2JUUEdzqMg
bYakpj2GPb,Sat Apr 08 2023 17:13:23 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:13:23 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,cPAIKaGFeM
HbRTeSdhoo,Sat Apr 08 2023 17:13:28 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:13:28 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,WJAhIHUeDZ
HTgw32HKVH,Sat Apr 08 2023 17:13:35 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:13:35 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,JuiwLQkdTq
Ew6ukTcaab,Sat Apr 08 2023 17:13:41 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:13:41 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,WJAhIHUeDZ
AzIBCf9JEF,Sat Apr 08 2023 17:13:51 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:13:51 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,PLpF8IU0sG
aLEmfyQCZs,Sat Apr 08 2023 17:14:04 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:14:04 GMT+0200 (Central European Summer Time),null,wrongAnswer,0j1DDpxUEM,wHBRjzdRrn
mCxRu5NWyY,Sat Apr 08 2023 17:14:09 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:14:09 GMT+0200 (Central European Summer Time),null,wrongAnswer,0j1DDpxUEM,wHBRjzdRrn
b7kMDOy8mC,Sat Apr 08 2023 17:14:11 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:14:11 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,wHBRjzdRrn
c7jYnZ9nSd,Sat Apr 08 2023 17:14:24 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:14:24 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,qnjw6UYY2k
rLeFVtkLEq,Sat Apr 08 2023 17:14:39 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:14:39 GMT+0200 (Central European Summer Time),null,wrongAnswer,0j1DDpxUEM,IvoBYJnbKr
5nULBWye6R,Sat Apr 08 2023 17:14:42 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:14:42 GMT+0200 (Central European Summer Time),null,wrongAnswer,0j1DDpxUEM,IvoBYJnbKr
pnw5BPGrj7,Sat Apr 08 2023 17:14:44 GMT+0200 (Central European Summer Time),Sat Apr 08 2023 17:14:44 GMT+0200 (Central European Summer Time),null,correctAnswer,0j1DDpxUEM,IvoBYJnbKr
