objectId,createdAt,updatedAt,ACL,file
YlORRdnt5D,Wed Nov 17 2021 11:22:32 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 11:22:32 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""425497da1905542fef05c259ba15568b_simpsons.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/425497da1905542fef05c259ba15568b_simpsons.png""}"
elX90KDv22,Wed Nov 17 2021 12:42:35 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 12:42:36 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""e305eb9cb591d3958e6a65c7b988ee67_simpsons.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/e305eb9cb591d3958e6a65c7b988ee67_simpsons.png""}"
YGcVeHWnRZ,Wed Nov 17 2021 12:51:11 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 12:51:11 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""28a750f8206e9efa3609db00cca90bb2_simpsons.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/28a750f8206e9efa3609db00cca90bb2_simpsons.png""}"
lBDHASfFZY,Wed Nov 17 2021 13:12:46 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 13:12:46 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""f3d32d4f94c79afbfdea98bb5c60fdf2_privatOmrade.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/f3d32d4f94c79afbfdea98bb5c60fdf2_privatOmrade.png""}"
FF55fDAxn1,Wed Nov 17 2021 13:24:09 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 13:24:10 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""68b724fe59392a200e71a594cacfb323_besoget.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/68b724fe59392a200e71a594cacfb323_besoget.png""}"
ClJHVyL8ZX,Wed Nov 17 2021 13:26:32 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 13:26:33 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""b07e658d1f656802e6f8bad91f3df24b_saind.jpg"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/b07e658d1f656802e6f8bad91f3df24b_saind.jpg""}"
VBIa00dCXu,Wed Nov 17 2021 13:28:31 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 13:28:32 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""9c0f37227e09a63ce984723c6baa5ffd_uden.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/9c0f37227e09a63ce984723c6baa5ffd_uden.png""}"
Gr2WDNqyHG,Wed Nov 17 2021 13:29:56 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 13:29:57 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""8135cfaf8117121245e65333ed7a4f93_behov.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/8135cfaf8117121245e65333ed7a4f93_behov.png""}"
ZpoHY1GtAP,Wed Nov 17 2021 13:30:32 GMT+0100 (Central European Standard Time),Wed Nov 17 2021 13:30:33 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""752abe5fc3038ea0b7334f316b74e85c_fartcontrol.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/752abe5fc3038ea0b7334f316b74e85c_fartcontrol.png""}"
EGDts2ol4a,Thu Nov 18 2021 21:00:50 GMT+0100 (Central European Standard Time),Thu Nov 18 2021 21:00:50 GMT+0100 (Central European Standard Time),null,"{""__type"":""File"",""name"":""2ee69115a7794a76742de3a039a530f2_privatOmrade.png"",""url"":""https://parsefiles.back4app.com/KLxcuhhjrb2JQwegqs5jto882HLxv7scW89HDACX/2ee69115a7794a76742de3a039a530f2_privatOmrade.png""}"
